symbol,name,weight
AAPL,Apple Inc,13.7763
MSFT,Microsoft Corp,12.1682
AMZN,Amazon.com Inc,6.2809
GOOGL,Alphabet Inc,4.0808
TSLA,Tesla Inc,3.7897
GOOG,Alphabet Inc,3.7869
NVDA,NVIDIA Corp,2.7869
META,Meta Platforms Inc,2.6694
LLY,Eli Lilly & Co,1.4857
HD,Home Depot Inc/The,1.4344
TMO,Thermo Fisher Scientific Inc,1.3352
UNH,UnitedHealth Group Inc,1.1732
ADBE,Adobe Inc,1.1729
JPM,JPMorgan Chase & Co,1.0731
QCOM,QUALCOMM Inc,0.9636
PFE,Pfizer Inc,0.9598
AMD,Advanced Micro Devices Inc,0.9271
V,Visa Inc,0.9033
MA,Mastercard Inc,0.8667
ABBV,AbbVie Inc,0.8399
AVGO,Broadcom Inc,0.8151
LOW,Lowe's Cos Inc,0.7855
INTU,Intuit Inc,0.7007
BAC,Bank of America Corp,0.6946
DHR,Danaher Corp,0.6816
ORCL,Oracle Corp,0.6765
GS,Goldman Sachs Group Inc/The,0.6624
ABT,Abbott Laboratories,0.6571
COST,Costco Wholesale Corp,0.6294
AMAT,Applied Materials Inc,0.6218
PEP,PepsiCo Inc,0.5819
CRM,Salesforce Inc,0.5748
NOW,ServiceNow Inc,0.5582
NFLX,Netflix Inc,0.5233
CSCO,Cisco Systems Inc,0.5105
MCD,McDonald's Corp,0.5062
NKE,NIKE Inc,0.4890
TXN,Texas Instruments Inc,0.4776
SPGI,S&P Global Inc,0.4508
SCHW,Charles Schwab Corp/The,0.4279
REGN,Regeneron Pharmaceuticals Inc,0.4235
MS,Morgan Stanley,0.3572
AMT,American Tower Corp,0.3552
AMGN,Amgen Inc,0.3540
PLD,Prologis Inc,0.3435
UNP,Union Pacific Corp,0.3426
UPS,United Parcel Service Inc,0.3411
ISRG,Intuitive Surgical Inc,0.3354
KLAC,KLA Corp,0.3283
PYPL,PayPal Holdings Inc,0.3201
ZTS,Zoetis Inc,0.3186
MRNA,Moderna Inc,0.3060
ADP,Automatic Data Processing Inc,0.2963
MRSH,Marsh & McLennan Cos Inc,0.2940
DVN,Devon Energy Corp,0.2815
DE,Deere & Co,0.2756
SBUX,Starbucks Corp,0.2749
AXP,American Express Co,0.2728
ORLY,O'Reilly Automotive Inc,0.2563
TGT,Target Corp,0.2547
CDNS,Cadence Design Systems Inc,0.2544
AZO,AutoZone Inc,0.2537
VRTX,Vertex Pharmaceuticals Inc,0.2450
FTNT,Fortinet Inc,0.2383
EW,Edwards Lifesciences Corp,0.2368
CCI,Crown Castle International Corp,0.2202
EOG,EOG Resources Inc,0.2201
MSCI,MSCI Inc,0.2147
EL,Estee Lauder Cos Inc/The,0.2085
SHW,Sherwin-Williams Co/The,0.2045
SNPS,Synopsys Inc,0.1960
ICE,Intercontinental Exchange Inc,0.1958
SYK,Stryker Corp,0.1927
MCO,Moody's Corp,0.1922
WM,Waste Management Inc,0.1857
IQV,IQVIA Holdings Inc,0.1791
PSA,Public Storage,0.1776
ADSK,Autodesk Inc,0.1746
HCA,HCA Healthcare Inc,0.1744
DXCM,Dexcom Inc,0.1724
EQIX,Equinix Inc,0.1699
FRCB,First Republic Bank/CA,0.1659
CMG,Chipotle Mexican Grill Inc,0.1579
FANG,Diamondback Energy Inc,0.1545
COF,Capital One Financial Corp,0.1516
FCX,Freeport-McMoRan Inc,0.1507
OXY,Occidental Petroleum Corp,0.1504
ENPH,Enphase Energy Inc,0.1488
EFX,Equifax Inc,0.1475
ITW,Illinois Tool Works Inc,0.1454
ODFL,Old Dominion Freight Line Inc,0.1436
EXR,Extra Space Storage Inc,0.1424
EBAY,eBay Inc,0.1400
WST,West Pharmaceutical Services Inc,0.1373
A,Agilent Technologies Inc,0.1372
IDXX,IDEXX Laboratories Inc,0.1369
SPG,Simon Property Group Inc,0.1350
APH,Amphenol Corp,0.1342
MSI,Motorola Solutions Inc,0.1306
IT,Gartner Inc,0.1288
TSCO,Tractor Supply Co,0.1273
PAYX,Paychex Inc,0.1257
HPQ,HP Inc,0.1255
ALB,Albemarle Corp,0.1238
SBAC,SBA Communications Corp,0.1224
TROW,T Rowe Price Group Inc,0.1217
ALGN,Align Technology Inc,0.1216
KEYS,Keysight Technologies Inc,0.1193
