symbol,name,weight
MSFT,Microsoft Corp,5.9966
AMZN,Amazon.com Inc,3.8974
META,Meta Platforms Inc,3.8347
BRK/B,Berkshire Hathaway Inc,3.7630
JPM,JPMorgan Chase & Co,2.5051
CSCO,Cisco Systems Inc,1.3761
WMT,Walmart Inc,1.3361
CRM,Salesforce Inc,1.2702
BAC,Bank of America Corp,1.1645
CMCSA,Comcast Corp,1.1395
NFLX,Netflix Inc,1.1295
PG,Procter & Gamble Co/The,0.9589
HD,Home Depot Inc/The,0.9210
WFC,Wells Fargo & Co,0.9076
AVGO,Broadcom Inc,0.9016
DIS,Walt Disney Co/The,0.8959
JNJ,Johnson & Johnson,0.8667
VZ,Verizon Communications Inc,0.8616
INTC,Intel Corp,0.8587
ADBE,Adobe Inc,0.7967
NEE,NextEra Energy Inc,0.7919
IBM,International Business Machines Corp,0.7811
SPGI,S&P Global Inc,0.7511
BA,Boeing Co/The,0.7422
RTX,RTX Corp,0.7364
NKE,NIKE Inc,0.7342
HON,Honeywell International Inc,0.7326
GE,General Electric Co,0.7302
UPS,United Parcel Service Inc,0.7193
PLD,Prologis Inc,0.6720
BKNG,Booking Holdings Inc,0.6718
MS,Morgan Stanley,0.6499
GS,Goldman Sachs Group Inc/The,0.6383
T,AT&T Inc,0.6195
SYK,Stryker Corp,0.5612
ZTS,Zoetis Inc,0.5158
ABT,Abbott Laboratories,0.5032
CVS,CVS Health Corp,0.4895
COST,Costco Wholesale Corp,0.4852
KO,Coca-Cola Co/The,0.4773
C,Citigroup Inc,0.4709
BDX,Becton Dickinson & Co,0.4650
AMD,Advanced Micro Devices Inc,0.4588
MCD,McDonald's Corp,0.4569
MU,Micron Technology Inc,0.4484
ORCL,Oracle Corp,0.4450
SO,Southern Co/The,0.4326
EQIX,Equinix Inc,0.4282
CME,CME Group Inc,0.4271
INTU,Intuit Inc,0.4186
PYPL,PayPal Holdings Inc,0.4086
PM,Philip Morris International Inc,0.4018
DUK,Duke Energy Corp,0.4009
UNP,Union Pacific Corp,0.3939
ICE,Intercontinental Exchange Inc,0.3870
SHW,Sherwin-Williams Co/The,0.3736
FDX,FedEx Corp,0.3536
MMM,3M Co,0.3448
TGT,Target Corp,0.3423
CAT,Caterpillar Inc,0.3395
TXN,Texas Instruments Inc,0.3306
ISRG,Intuitive Surgical Inc,0.3274
SBUX,Starbucks Corp,0.3207
PH,Parker-Hannifin Corp,0.3134
ROP,Roper Technologies Inc,0.3117
PSX,Phillips 66,0.3069
USB,US Bancorp,0.2986
ADI,Analog Devices Inc,0.2855
PNC,PNC Financial Services Group Inc/The,0.2823
CARR,Carrier Global Corp,0.2810
AXP,American Express Co,0.2807
F,Ford Motor Co,0.2793
VLO,Valero Energy Corp,0.2751
NSC,Norfolk Southern Corp,0.2734
GM,General Motors Co,0.2729
EW,Edwards Lifesciences Corp,0.2716
CHTR,Charter Communications Inc,0.2667
ECL,Ecolab Inc,0.2667
MDLZ,Mondelez International Inc,0.2616
CCI,Crown Castle Inc,0.2554
PCAR,PACCAR Inc,0.2519
LOW,Lowe's Cos Inc,0.2497
AIG,American International Group Inc,0.2482
CI,Cigna Group/The,0.2443
ROST,Ross Stores Inc,0.2441
WELL,Welltower Inc,0.2413
AFL,Aflac Inc,0.2402
MET,MetLife Inc,0.2388
TFC,Truist Financial Corp,0.2384
D,Dominion Energy Inc,0.2377
AEP,American Electric Power Co Inc,0.2365
EMR,Emerson Electric Co,0.2343
EXC,Exelon Corp,0.2337
AMT,American Tower Corp,0.2327
SLB,Schlumberger NV,0.2314
COF,Capital One Financial Corp,0.2290
DOW,Dow Inc,0.2261
DLR,Digital Realty Trust Inc,0.2249
TJX,TJX Cos Inc/The,0.2246
MO,Altria Group Inc,0.2220
O,Realty Income Corp,0.2211
EL,Estee Lauder Cos Inc/The,0.2181
SPG,Simon Property Group Inc,0.2175
BKR,Baker Hughes Co,0.2146
BSX,Boston Scientific Corp,0.2135
CTSH,Cognizant Technology Solutions Corp,0.2129
SCHW,Charles Schwab Corp/The,0.2112
ROK,Rockwell Automation Inc,0.2101
OTIS,Otis Worldwide Corp,0.2071
SYY,Sysco Corp,0.2068
DD,DuPont de Nemours Inc,0.2068
HAL,Halliburton Co,0.2042
MRSH,Marsh & McLennan Cos Inc,0.2035
PRU,Prudential Financial Inc,0.2025
KMI,Kinder Morgan Inc,0.1990
CEG,Constellation Energy Corp,0.1980
CNC,Centene Corp,0.1972
ITW,Illinois Tool Works Inc,0.1963
PPG,PPG Industries Inc,0.1955
GPN,Global Payments Inc,0.1945
FIS,Fidelity National Information Services Inc,0.1940
URI,United Rentals Inc,0.1919
BK,Bank of New York Mellon Corp/The,0.1888
CSX,CSX Corp,0.1871
MPC,Marathon Petroleum Corp,0.1845
XEL,Xcel Energy Inc,0.1843
NEM,Newmont Corp,0.1835
ED,Consolidated Edison Inc,0.1805
PEG,Public Service Enterprise Group Inc,0.1785
KR,Kroger Co/The,0.1775
WST,West Pharmaceutical Services Inc,0.1770
MCK,McKesson Corp,0.1769
LEN,Lennar Corp,0.1761
LMT,Lockheed Martin Corp,0.1715
WBD,Warner Bros Discovery Inc,0.1707
COR,Cencora Inc,0.1670
ALL,Allstate Corp/The,0.1661
MCO,Moody's Corp,0.1651
IR,Ingersoll Rand Inc,0.1650
FTV,Fortive Corp,0.1633
MLM,Martin Marietta Materials Inc,0.1621
DAL,Delta Air Lines Inc,0.1615
GEHC,GE HealthCare Technologies Inc,0.1614
CL,Colgate-Palmolive Co,0.1607
AWK,American Water Works Co Inc,0.1582
CBRE,CBRE Group Inc,0.1549
KHC,Kraft Heinz Co/The,0.1547
EIX,Edison International,0.1545
ALGN,Align Technology Inc,0.1543
HCA,HCA Healthcare Inc,0.1542
ILMN,Illumina Inc,0.1531
AVB,AvalonBay Communities Inc,0.1530
HPQ,HP Inc,0.1508
MAR,Marriott International Inc/MD,0.1507
TROW,T Rowe Price Group Inc,0.1477
TMUS,T-Mobile US Inc,0.1471
GLW,Corning Inc,0.1471
TDG,TransDigm Group Inc,0.1464
ZBH,Zimmer Biomet Holdings Inc,0.1456
